Url,NameOfPainting,ArtistName,Size,Price,Views,Favorites,Medium,PaintingSurface,ArtistCountry,ShipmentMode,ArtistRecognition,Keywords,Date,Subject
"https://www.saatchiart.com/art/Painting-LaVida-original-oil-painting/809166/3179504/view",""LaVida" original oil painting","Lidia Wylangowska","2880","4150","236","19","Oil","Wood","United States","Artist featured in a collection","Ships in a crate","fine art, oil painting, figurative painting, chicago, red dress, dance, energy, Lidia Wylangowska, life, love","2015.12.31","Women"
"https://www.saatchiart.com/art/Painting-Factory/337184/2491017/view","Factory","Sam Bornstein","576","1790","520","15","Oil","Canvas","United States","Artist featured in a collection","Ships in a cardboard box","blue, stone, tan, white, monochrome","2011.05.02","Abstract"
"https://www.saatchiart.com/art/Painting-Fields/755638/2749846/view","Fields","nataliya gurshman","36","345","235","19","Oil","Canvas","","","Ships in a cardboard box","poppy, red, surreal, textured, Palette Knife, daylight, abstract, fields, flowers, movement","2015.12.01","Abstract"
"https://www.saatchiart.com/art/Painting-Japanese-net/727087/2383514/view","Japanese net","Golriz Rezvani","208.86","610","743","11","Acrylic, Ink","Paper","Canada","Featured in One to Watch","","cat, chairs, collage, composition, yellow red and wite, mirror","2015.03.13","Interiors"
"https://www.saatchiart.com/art/Painting-Storm-at-Sea/828864/3549098/view","Storm at Sea","Val Irene Robertson","720","1311","32","1","Oil","Canvas","United Kingdom","Featured in the Catalog","Ships in a cardboard box","blue colours, seascape, storm, original oil painting, impressionistic","2015.12.31","Seascape"
"https://www.saatchiart.com/art/Painting-memory-of-Istanbul/46606/3318783/view","memory of Istanbul","Federico Cortese","287.62","440","297","9","Oil","Paper","Italy","Artist featured in a collection","Ships in a cardboard box","seaside, turkey, urban, waterfront, buildings, istanbul, church, constructions, details, houses, landscape, lighthouse","2015.12.31","Architecture"
"https://www.saatchiart.com/art/Painting-Havana-5/328612/3112815/view","Havana 5","Michael Goro","864","3450","466","33","Oil","Aluminium","United States","Artist featured in a collection","Ships in a cardboard box","buildings, cuba, havana, house, oil","2015.12.31","Architecture"
"https://www.saatchiart.com/art/Painting-Summer-Bliss/665110/3264277/view","Summer Bliss","Beatris Burgoin","900","1790","249","8","Oil","Canvas","United States","Artist featured in a collection","Ships in a cardboard box","summer, tree, wind, yellow, fall, grass, green, landscape","2015.12.31","Landscape"
"https://www.saatchiart.com/art/Painting-Motif-99/419860/2512447/view","Motif # 99","Wilson Hunt","780","1640","552","6","Acrylic, Gouache","Plastic","United States","Artist featured in a collection","Ships in a cardboard box","space, organic, colorful, construction, energy, abstract, floating","2015.06.08","Abstract"
"https://www.saatchiart.com/art/Painting-Lychakivs-ka-street/465384/2140850/view","Lychakivs'ka street","Olena Kamenetska-Ostapchuk","1363.95","3250","998","17","Oil","Canvas","Ukraine","Artist featured in a collection","Ships in a cardboard box","people, street, Cityscape, church, city, evening, busstop, impressionism, old","2006.12.31","Cities"
"https://www.saatchiart.com/art/Painting-Running-Escapes-I/388106/3274114/view","Running Escapes I","Catherine Perreira","120","295","74","3","Acrylic","Canvas","Trinidad and Tobago","","Ships in a cardboard box","parks, running, spring, london, battersea, skies, gardens, green, escapes","2015.12.31","Garden"
"https://www.saatchiart.com/art/Painting-Little-Chamomile/397624/2271164/view","Little Chamomile","Clement Tsang","480","480","1155","24","Oil","Canvas","Hong Kong","Artist featured in a collection","Ships in a cardboard box","crysanthemum, black, white, yellow, camomile, chamomile, floral, flower, oil","2013.12.31","Floral"
"https://www.saatchiart.com/art/Painting-no-mood/420360/2440825/view","no mood","yossi kotler","1689.76","1790","1681","29","Acrylic, Digital, Ink, Paint","Canvas","Israel","Featured in the Catalog","Ships in a tube","portrait, women, acrylic paint, yossi kotler art, digital, face, kotler, yossi","2014.12.31","People"
"https://www.saatchiart.com/art/Painting-NIGHT-ON-HALONG-BAY/668015/3297829/view","NIGHT ON HALONG BAY","khanh the bui","1302.72","1240","194","8","Acrylic","Canvas","Vietnam","Artist featured in a collection","Ships in a tube","painting, halong bay, seascape, blue, boat, mountain, night","2015.12.31","Seascape"
"https://www.saatchiart.com/art/Painting-Nuage/88720/2563950/view","Nuage","Patrice Palacio","392.77","4410","1244","59","Oil","Canvas","France","Artist featured in a collection","Ships in a cardboard box","sky, spirit, cloud, dream, light","2015.07.14","Nature"
"https://www.saatchiart.com/art/Painting-Introspection/849274/2874480/view","Introspection","Sandile Peta","581.15","1200","378","16","Acrylic, Oil, Wood","Canvas","South Africa","","Ships in a cardboard box","surrealism, Picasso, clouds, collage, colour, expressionism, abstract, figure, knife, landscape","2015.12.31","Abstract"
"https://www.saatchiart.com/art/Painting-Orgasm-Sensualis/784087/2447658/view","Orgasm Sensualis","Aristotle Forrester","1764","11000","1156","19","Oil","Canvas","United States","Artist featured in a collection","Ships in a crate","sex, vibrant, oil paint, fineart, Color field, new perspective, abstract, spiritual in art, love, modern, contempry, original","2012.12.31","Abstract"
